transaction_id,card_number,merchant_name,merchant_category,amount,transaction_timestamp,cardholder_lat,cardholder_long,merchant_lat,merchant_long,is_fraud
c091df34fe7eddc0b419e6374d8aea66,3520550088202337,fraud_Heathcote LLC,shopping_net,106.7,2019-01-01 13:07:25,47.8342,-90.0476,48.29344,-89.552853,False
92d0c4c28e76c15ac69d1702620db6ba,3520550088202337,fraud_Botsford PLC,home,30.29,2019-01-01 13:25:36,47.8342,-90.0476,48.328348,-90.812565,False
5e32483d6168df11d5644e1dcc627b4c,3520550088202337,fraud_Koepp-Parker,grocery_pos,50.26,2019-01-01 23:08:04,47.8342,-90.0476,48.49323,-90.382827,False
ecf3feab95507ec36b0f8db219e242ba,3520550088202337,fraud_Spinka-Welch,grocery_net,37.68,2019-01-04 09:09:47,47.8342,-90.0476,47.480533,-90.284529,False
eb9c6416d46bdb945ea696609d0e3bc7,3520550088202337,fraud_Crona and Sons,kids_pets,24.15,2019-01-05 13:06:53,47.8342,-90.0476,48.405972,-90.868248,False
1960f865f59400bbe57a0658b259fa27,3520550088202337,"fraud_Reinger, Weissnat and Strosin",food_dining,69.65,2019-01-05 19:00:35,47.8342,-90.0476,48.552916,-89.959453,False
ceb92b27c3c87ebeb3ed8643a2b9dc4b,3520550088202337,fraud_Botsford Ltd,shopping_pos,138.76,2019-01-05 21:02:52,47.8342,-90.0476,47.667249,-90.577275,False
d128c65fdbcef856ac51033aa7494080,3520550088202337,fraud_Bogisich Inc,grocery_pos,43.96,2019-01-05 23:44:27,47.8342,-90.0476,48.18416,-91.022275,False
fb373b76f05670ce23402ace28650dfb,3520550088202337,"fraud_Hagenes, Kohler and Hoppe",food_dining,1.93,2019-01-06 15:25:29,47.8342,-90.0476,46.835966,-89.251001,False
1ec9b61fa833f00a971584973c86979c,3520550088202337,fraud_Deckow-Dare,food_dining,3.6,2019-01-06 17:02:05,47.8342,-90.0476,47.603209,-90.95252,False
a55cf3f14a1e8d3031edc93f7c283914,3520550088202337,"fraud_Rodriguez, Yost and Jenkins",misc_net,66.49,2019-01-06 19:31:37,47.8342,-90.0476,47.306023,-89.689396,False
