transaction_id,card_number,merchant_name,merchant_category,amount,transaction_timestamp,cardholder_lat,cardholder_long,merchant_lat,merchant_long,is_fraud
efb5716ff3da7bcfba69826864ae26d0,3502377050801561,fraud_Barrows PLC,shopping_pos,3.27,2019-11-02 05:35:02,30.5354,-95.4532,31.449534999999997,-95.367228,False
2ad51935bd1df08f7935604b23dee446,3513618443244549,"fraud_Greenfelder, Bartoletti and Davis",misc_net,15.1,2019-08-30 09:12:36,43.7588,-97.8712,44.660177,-98.247862,False
25a9a849340ae5361f13b7a9e841e09a,213178765398315,"fraud_Lind, Huel and McClure",gas_transport,52.77,2019-12-31 09:42:19,43.0351,-108.2024,43.956334000000005,-108.04706000000002,False
c1cceaee9ac6920077609fe90c7599aa,4908846471916297,"fraud_Turner, Ziemann and Lehner",food_dining,69.38,2019-12-12 16:43:54,32.2779,-97.2351,32.191359000000006,-96.952,False
bd2fb831217d258dc6f39b3c9f609230,4810839835482794272,fraud_Hirthe-Beier,health_fitness,30.46,2020-06-11 22:28:19,36.7651,-94.0492,37.083603,-95.036303,False
876ec8f997954e4acb7b375714b976a9,4560395181594436016,"fraud_Hauck, Dietrich and Funk",kids_pets,74.24,2020-05-17 13:52:23,39.047,-122.9328,39.050558,-122.631722,False
0b05aea4795685296961e223decd67ea,30238755902988,"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,7.09,2019-05-06 14:51:51,30.592,-97.2893,30.068897999999997,-97.143264,False
9f0db88f3dcd0164207d8443694ca94a,3541687240161491,fraud_Botsford and Sons,home,221.06,2019-12-09 14:52:20,31.1989,-81.3322,30.71793,-81.305853,False
d8ad583d43d6b653cbeaf791ffb4b794,343472729187663,fraud_Hilpert-Conroy,kids_pets,6.89,2019-10-17 20:47:03,43.6849,-71.2551,43.560719,-71.587383,False
9d72c6d99920802842f56663ade67664,3566875419572867,fraud_Kilback LLC,grocery_pos,100.07,2019-05-06 09:45:33,44.64,-73.3113,44.241336,-72.790173,False
